ID_venta,Fecha,Producto,Categoría,Talla,Color,Precio_unitario,Cantidad,Método_pago,Sucursal
VNT-1053,2025-03-24,Camiseta básica,Camiseta,XS,Verde,51.09,3,Efectivo,Barranquilla
VNT-1054,2025-05-02,Abrigo largo,Abrigo,S,Gris,70.98,5,Efectivo,Barranquilla
VNT-1055,2025-06-02,Blusa elegante,Blusa,L,Rojo,17.78,4,Transferencia,Medellín
VNT-1056,2025-06-12,Chaqueta impermeable,Chaqueta,XL,Negro,98.92,2,Transferencia,Medellín
VNT-1057,2025-03-06,Short de verano,Short,M,Gris,76.94,5,Tarjeta,Barranquilla
VNT-1058,2025-03-25,Camisa formal,Camisa,S,Beige,50.16,1,Transferencia,Cartagena
VNT-1059,2025-03-03,Vestido casual,Vestido,S,Verde,20.31,4,Tarjeta,Bogotá
VNT-1060,2025-05-15,Short de verano,Short,XS,Negro,68.37,1,Tarjeta,Barranquilla
VNT-1061,2025-03-01,Sudadera deportiva,Sudadera,XL,Verde,17.98,5,Transferencia,Cartagena
VNT-1062,2025-07-22,Camiseta básica,Camiseta,L,Beige,37.55,5,Transferencia,Cali
VNT-1063,2025-04-04,Camisa formal,Camisa,S,Beige,93.67,1,Efectivo,Bogotá
VNT-1064,2025-06-25,Pantalón jean,Pantalón,XS,Blanco,61.94,4,Transferencia,Cali
VNT-1065,2025-03-20,Vestido casual,Vestido,XS,Rojo,29.37,4,Transferencia,Cali
VNT-1066,2025-04-29,Vestido casual,Vestido,L,Beige,64.39,4,Efectivo,Barranquilla
VNT-1067,2025-03-25,Short de verano,Short,S,Gris,55.95,2,Efectivo,Cali
VNT-1068,2025-07-20,Chaqueta impermeable,Chaqueta,S,Gris,86.13,2,Efectivo,Medellín
VNT-1069,2025-04-12,Blusa elegante,Blusa,S,Negro,65.4,2,Transferencia,Bogotá
VNT-1070,2025-03-06,Pantalón jean,Pantalón,M,Azul,37.88,2,Transferencia,Cartagena
VNT-1071,2025-02-10,Short de verano,Short,M,Gris,80.28,4,Transferencia,Barranquilla
VNT-1072,2025-07-12,Blusa elegante,Blusa,L,Blanco,77.72,3,Transferencia,Medellín
VNT-1073,2025-02-17,Pantalón jean,Pantalón,XL,Blanco,45.02,1,Transferencia,Medellín
VNT-1074,2025-07-07,Short de verano,Short,M,Beige,53.85,1,Transferencia,Cartagena
VNT-1075,2025-07-29,Short de verano,Short,L,Negro,97.42,5,Transferencia,Cartagena
VNT-1076,2025-07-07,Blusa elegante,Blusa,XL,Gris,48.83,5,Transferencia,Barranquilla
VNT-1077,2025-04-20,Short de verano,Short,M,Negro,72.98,1,Efectivo,Cali
VNT-1078,2025-04-29,Sudadera deportiva,Sudadera,S,Azul,47.69,1,Transferencia,Cali
VNT-1079,2025-03-23,Pantalón jean,Pantalón,XS,Beige,24.5,5,Tarjeta,Barranquilla
VNT-1080,2025-05-04,Short de verano,Short,M,Blanco,70.46,3,Transferencia,Barranquilla
VNT-1081,2025-04-06,Chaqueta impermeable,Chaqueta,S,Verde,93.37,3,Efectivo,Cali
VNT-1082,2025-05-28,Falda corta,Falda,L,Azul,23.82,5,Transferencia,Medellín
VNT-1083,2025-05-29,Blusa elegante,Blusa,S,Blanco,37.49,5,Tarjeta,Bogotá
VNT-1084,2025-06-22,Pantalón jean,Pantalón,M,Blanco,69.9,4,Efectivo,Cali
VNT-1085,2025-04-02,Pantalón jean,Pantalón,S,Rojo,66.41,2,Efectivo,Cali
VNT-1086,2025-07-12,Sudadera deportiva,Sudadera,M,Azul,97.22,5,Tarjeta,Bogotá
VNT-1087,2025-03-02,Sudadera deportiva,Sudadera,L,Negro,69.58,5,Efectivo,Barranquilla
VNT-1088,2025-06-23,Blusa elegante,Blusa,XS,Negro,51.65,3,Efectivo,Cartagena
VNT-1089,2025-04-22,Short de verano,Short,XL,Rojo,91.42,4,Tarjeta,Bogotá
VNT-1090,2025-04-08,Abrigo largo,Abrigo,XL,Verde,71.33,2,Transferencia,Cali
VNT-1091,2025-05-14,Chaqueta impermeable,Chaqueta,L,Blanco,89.26,1,Tarjeta,Cartagena
VNT-1092,2025-04-08,Short de verano,Short,L,Gris,73.72,4,Tarjeta,Barranquilla
VNT-1093,2025-07-24,Vestido casual,Vestido,L,Beige,90.65,5,Tarjeta,Cali
VNT-1094,2025-02-26,Blusa elegante,Blusa,M,Rojo,89.65,1,Efectivo,Cartagena
VNT-1095,2025-05-18,Pantalón jean,Pantalón,L,Beige,18.46,2,Tarjeta,Cartagena
VNT-1096,2025-07-24,Sudadera deportiva,Sudadera,M,Blanco,16.86,1,Tarjeta,Medellín
VNT-1097,2025-05-06,Short de verano,Short,L,Negro,66.64,3,Efectivo,Barranquilla
VNT-1098,2025-02-21,Falda corta,Falda,L,Blanco,16.2,5,Tarjeta,Medellín
VNT-1099,2025-03-09,Pantalón jean,Pantalón,S,Gris,10.59,3,Efectivo,Cali
VNT-1100,2025-05-16,Falda corta,Falda,XL,Beige,68.14,4,Tarjeta,Bogotá
